"State","Pincode","District","Hospitalized","Deaths","Recovered","S_Hospitalized","S_Deaths","S_Recovered","C_Hospitalized","C_Deaths","C_Recovered"
"AN",744211,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744106,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744206,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744112,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744102,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744104,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744207,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744107,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744105,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744101,"South Andaman",5,0,0,5,0,0,1179,14,40
"AN",744103,"South Andaman",5,0,0,5,0,0,1179,14,40
"AP",522303,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",521324,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517422,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521330,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522003,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522002,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",533440,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",520012,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517004,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",522001,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",517587,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",531060,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",533407,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521260,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521215,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522016,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522111,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522313,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",521332,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533345,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521329,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521345,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521401,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521211,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517569,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517152,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521107,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521148,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521366,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521250,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521181,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522437,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522304,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522508,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",517590,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521111,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521185,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517213,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521344,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521130,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533293,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",507130,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521132,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522201,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",521331,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521328,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521214,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521207,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521101,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521137,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533252,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521201,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517644,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517582,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517391,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517131,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517599,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521002,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521170,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522615,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522305,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",521156,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",535250,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",517415,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517390,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517588,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",534225,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",517541,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517126,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521134,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517194,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517501,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517001,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517237,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517429,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",530008,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521212,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517581,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521003,"Krishna",6,0,0,66,0,1,1179,14,40
