"state","district","Hospitalized","Deceased","Recovered","Date"
"Andaman and Nicobar Islands","",4,0,0,2020-04-01
"Andhra Pradesh","",24,0,0,2020-04-01
"Bihar","",1,0,0,2020-04-01
"Chandigarh","",2,0,0,2020-04-01
"Chhattisgarh","",1,0,0,2020-04-01
"Delhi","",108,0,0,2020-04-01
"Goa","",2,0,0,2020-04-01
"Gujarat","",15,0,0,2020-04-01
"Jammu and Kashmir","",19,0,0,2020-04-01
"Madhya Pradesh","",4,0,0,2020-04-01
"Maharashtra","",70,0,0,2020-04-01
"Punjab","",7,0,0,2020-04-01
"Rajasthan","",21,0,0,2020-04-01
"Telangana","",51,1,0,2020-04-01
"Uttar Pradesh","",43,0,0,2020-04-01
"Uttarakhand","",1,0,0,2020-04-01
"West Bengal","",10,0,0,2020-04-01
"Uttar Pradesh","Agra",8,0,1,2020-04-01
"Gujarat","Ahmadabad",29,1,1,2020-04-01
"Maharashtra","Ahmadnagar",8,0,0,2020-04-01
"Mizoram","Aizawl",1,0,0,2020-04-01
"Rajasthan","Ajmer",5,0,0,2020-04-01
"Kerala","Alappuzha",1,0,1,2020-04-01
"Rajasthan","Alwar",1,0,0,2020-04-01
"Haryana","Ambala",1,0,0,2020-04-01
"Punjab","Amritsar",2,0,0,2020-04-01
"Andhra Pradesh","Anantapur",2,0,0,2020-04-01
"Maharashtra","Aurangabad",1,0,0,2020-04-01
"Jammu and Kashmir","Badgam",2,0,0,2020-04-01
"Uttar Pradesh","Baghpat",1,0,0,2020-04-01
"Karnataka","Ballari",3,0,0,2020-04-01
"Jammu and Kashmir","Bandipore",8,1,0,2020-04-01
"Jammu and Kashmir","Baramula",1,0,0,2020-04-01
"Uttar Pradesh","Bareilly",6,0,0,2020-04-01
"Bihar","Begusarai",1,0,0,2020-04-01
"Karnataka","Bengaluru",39,0,8,2020-04-01
"Telangana","Bhadradri Kothagudem",3,0,0,2020-04-01
"Odisha","Bhadrak",1,0,0,2020-04-01
"Bihar","Bhagalpur",4,0,0,2020-04-01
"Gujarat","Bhavnagar",4,1,0,2020-04-01
"Rajasthan","Bhilwara",22,0,0,2020-04-01
"Madhya Pradesh","Bhopal",3,0,0,2020-04-01
"Chhattisgarh","Bilaspur",1,0,0,2020-04-01
"Maharashtra","Buldana",5,0,0,2020-04-01
"Assam","Cachar",1,0,0,2020-04-01
"Chandigarh","Chandigarh",15,0,0,2020-04-01
"Tamil Nadu","Chengalpattu",8,0,0,2020-04-01
"Tamil Nadu","Chennai",28,0,1,2020-04-01
