"Pincode","State","District","Hospitalized","Deceased","Recovered","Date"
744101,"AN","southandaman",5,0,0,2020-04-01
744107,"AN","southandaman",5,0,0,2020-04-01
744106,"AN","southandaman",5,0,0,2020-04-01
744104,"AN","southandaman",5,0,0,2020-04-01
744207,"AN","southandaman",5,0,0,2020-04-01
744102,"AN","southandaman",5,0,0,2020-04-01
744112,"AN","southandaman",5,0,0,2020-04-01
744105,"AN","southandaman",5,0,0,2020-04-01
744205,"AN","northand middle andaman",1,0,0,2020-04-01
744202,"AN","northand middle andaman",1,0,0,2020-04-01
744206,"AN","southandaman",5,0,0,2020-04-01
744103,"AN","southandaman",5,0,0,2020-04-01
744210,"AN","northand middle andaman",1,0,0,2020-04-01
744201,"AN","northand middle andaman",1,0,0,2020-04-01
744204,"AN","northand middle andaman",1,0,0,2020-04-01
744203,"AN","northand middle andaman",1,0,0,2020-04-01
744209,"AN","northand middle andaman",1,0,0,2020-04-01
744211,"AN","southandaman",5,0,0,2020-04-01
531075,"AP","visakhapatnam",10,0,1,2020-04-01
531060,"AP","visakhapatnam",10,0,1,2020-04-01
517247,"AP","chittoor",6,0,0,2020-04-01
530008,"AP","visakhapatnam",10,0,1,2020-04-01
517641,"AP","chittoor",6,0,0,2020-04-01
517619,"AP","chittoor",6,0,0,2020-04-01
531116,"AP","visakhapatnam",10,0,1,2020-04-01
521245,"AP","krishna",6,0,0,2020-04-01
517417,"AP","chittoor",6,0,0,2020-04-01
530041,"AP","visakhapatnam",10,0,1,2020-04-01
517588,"AP","chittoor",6,0,0,2020-04-01
517319,"AP","chittoor",6,0,0,2020-04-01
521122,"AP","krishna",6,0,0,2020-04-01
531024,"AP","visakhapatnam",10,0,1,2020-04-01
530051,"AP","visakhapatnam",10,0,1,2020-04-01
517401,"AP","chittoor",6,0,0,2020-04-01
517325,"AP","chittoor",6,0,0,2020-04-01
530045,"AP","visakhapatnam",10,0,1,2020-04-01
530027,"AP","visakhapatnam",10,0,1,2020-04-01
531025,"AP","visakhapatnam",10,0,1,2020-04-01
531117,"AP","visakhapatnam",10,0,1,2020-04-01
517299,"AP","chittoor",6,0,0,2020-04-01
531113,"AP","visakhapatnam",10,0,1,2020-04-01
