"Pincode","State","District","Hospitalized","Deceased","Recovered"
744207,"AN","South Andaman",5,0,0
744103,"AN","South Andaman",5,0,0
744107,"AN","South Andaman",5,0,0
744105,"AN","South Andaman",5,0,0
744101,"AN","South Andaman",5,0,0
744106,"AN","South Andaman",5,0,0
744211,"AN","South Andaman",5,0,0
744206,"AN","South Andaman",5,0,0
744112,"AN","South Andaman",5,0,0
744104,"AN","South Andaman",5,0,0
744102,"AN","South Andaman",5,0,0
530022,"AP","Visakhapatnam",14,0,1
517112,"AP","Chittoor",17,0,0
533239,"AP","East Godavari",11,0,0
530011,"AP","Visakhapatnam",14,0,1
517418,"AP","Chittoor",17,0,0
517123,"AP","Chittoor",17,0,0
515405,"AP","Anantapur",3,0,0
517291,"AP","Chittoor",17,0,0
531019,"AP","Visakhapatnam",14,0,1
517424,"AP","Chittoor",17,0,0
531002,"AP","Visakhapatnam",14,0,1
530014,"AP","Visakhapatnam",14,0,1
530047,"AP","Visakhapatnam",14,0,1
517506,"AP","Chittoor",17,0,0
531026,"AP","Visakhapatnam",14,0,1
520010,"AP","Krishna",28,0,0
530026,"AP","Visakhapatnam",14,0,1
521213,"AP","Krishna",28,0,0
517599,"AP","Chittoor",17,0,0
531011,"AP","Visakhapatnam",14,0,1
521327,"AP","Krishna",28,0,0
517588,"AP","Chittoor",17,0,0
517416,"AP","Chittoor",17,0,0
531029,"AP","Visakhapatnam",14,0,1
521201,"AP","Krishna",28,0,0
517426,"AP","Chittoor",17,0,0
524323,"AP","S.P.S. Nellore",33,0,1
530008,"AP","Visakhapatnam",14,0,1
517645,"AP","Chittoor",17,0,0
515672,"AP","Anantapur",3,0,0
515501,"AP","Anantapur",3,0,0
533446,"AP","East Godavari",11,0,0
531113,"AP","Visakhapatnam",14,0,1
530003,"AP","Visakhapatnam",14,0,1
533436,"AP","East Godavari",11,0,0
524421,"AP","S.P.S. Nellore",33,0,1
517571,"AP","Chittoor",17,0,0
524317,"AP","S.P.S. Nellore",33,0,1
524004,"AP","S.P.S. Nellore",33,0,1
517172,"AP","Chittoor",17,0,0
531060,"AP","Visakhapatnam",14,0,1
534111,"AP","West Godavari",15,0,0
535250,"AP","Visakhapatnam",14,0,1
533429,"AP","East Godavari",11,0,0
530009,"AP","Visakhapatnam",14,0,1
517503,"AP","Chittoor",17,0,0
533250,"AP","East Godavari",11,0,0
533124,"AP","East Godavari",11,0,0
517642,"AP","Chittoor",17,0,0
517551,"AP","Chittoor",17,0,0
533004,"AP","East Godavari",11,0,0
521246,"AP","Krishna",28,0,0
524308,"AP","S.P.S. Nellore",33,0,1
515408,"AP","Anantapur",3,0,0
531082,"AP","Visakhapatnam",14,0,1
533445,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
521183,"AP","Krishna",28,0,0
531126,"AP","Visakhapatnam",14,0,1
517401,"AP","Chittoor",17,0,0
521135,"AP","Krishna",28,0,0
533255,"AP","East Godavari",11,0,0
530045,"AP","Visakhapatnam",14,0,1
530043,"AP","Visakhapatnam",14,0,1
533212,"AP","East Godavari",11,0,0
