"","District"
"1","ANANTHAPUR"
"472","Chittoor"
"478","Madanapalle"
"900","KADAPA"
"1352","Ananthapur"
"1382","Hindupur"
"1650","Dharmavaram"
"1792","ANANTAPUR"
"1824","Kurnool"
"1946","KURNOOL"
"2343","PRAKASAM"
"2553","Prakasam"
"3212","CHITTOOR"
"3679","West Godavari"
"3681","WEST GODAVARI"
"3782","Palakol"
"4023","VIZIANAGARAM"
"4223","KRISHNA"
"4326","Krishna"
"4476","NELLORE"
"4815","Guntur"
"4816","GUNTUR"
"5020","Machilipatnam"
"5158","Avanigadda"
"5722","Nellore"
"6694","Warangal"
"6705","Kovvur"
"6772","Tadepalligudem"
"6790","East Godavari"
"6926","Bapatla"
"6980","Karim Nagar"
"7618","AMLAPURAM"
"7805","VISAKHAPATNAM"
"7944","Visakhapatnam"
"8402","EAST GODAVARI"
"8724","YANAM"
"8738","SRIKAKULAM"
"9215","Bhadrachalam"
"9219","Srikalahasti"
"9267","Bhongir"
"10495","KARIMGANJ"
"10497","HAILAKANDI"
"10498","CACHAR"
"10512","DIMA HASSO - NORTH CACHAR HILL"
"11007","KARBI ANGLONG"
"11108","UDALGURI"
"11109","SONITPUR"
"11113","DARRANG"
"11499","BONGAIGAON"
"11502","KOKRAJHAR"
"11503","GOALPARA"
"11504","DHUBRI"
"11975","Dhubri"
"11993","KAMRUP"
"11998","KAMRUP METROPOLITAN"
"12019","BAKSA"
"12296","NALBARI"
"12299","BARPETA"
"12408","Barpeta"
"12737","LAKHIMPUR"
"12738","DIBRUGARH"
"12742","DHEMAJI"
"13193","Sonapur"
"13217","MARIGAON"
"13218","NAGAON"
"13669","SIBSAGAR"
"13729","GOLAGHAT"
"13735","JORHAT"
"14360","TINSUKIA"
"14505","GAYA"
"14506","AURANGABAD"
"14570","ARWAL"
"14823","AURANAGABAD"
"14898","BHOJPUR"
"14901","BUXAR"
"15423","JEHANABAD"
"15559","KAIMUR BHABUA"
"15821","PATNA"
"15829","JAMUI"
"15837","Patna"
"15906","EAST CHAMPARAN"
"16010","PURNIA"
"16165","ROHTAS"
"16563","VAISHALI"
"16648","SAMASTIPUR"
"16850","BEGUSARAI"
"16851","KHAGARIA"
"16857","Khagaria"
"16949","KATIHAR"
"17227","BHAGALPUR"
"17228","BANKA"
"17334","DEOGHAR"
"17706","KISHANGANJ"
"17977","LAKHISARAI"
"17980","MUNGER"
"18024","SHEIKHPURA"
"18343","NALANDA"
"18439","Nalanda"
"18753","NAWADA"
"18897","Sheikhpura"
"19010","SHEOHAR"
"19085","MADHEPURA"
"19086","SUPAUL"
"19088","SAHARSA"
"20069","DARBHANGA"
"20105","MUZAFFARPUR"
"20159","SITAMARHI"
"20218","MADHUBANI"
"21315","WEST CHAMPARAN"
"21719","ARARIA"
"22060","SARAN"
"22786","GOPALGANJ"
"22787","SIWAN"
"23594","BILASPURCGH"
"23595","JANJGIRCHAMPA"
"23597","KORBA"
"23601","MUNGELI"
"24236","Janjgir-Champa"
"24239","DURG"
"24240","RAJNANDGAON"
"24245","BALOD"
"24258","BEMETARA"
"24284","KAWARDHA"
"24658","RAIGARH"
"25061","SURGUJA"
"25069","JASPUR"
"25070","BALRAMPUR"
"25086","KORIYA"
"25097","SURAJPUR"
"25789","GARIABAND"
"25790","MAHASAMUND"
"25791","DHAMTARI"
"25793","RAIPUR"
"25794","BALOD BAZER"
"26409","Kanker"
"26410","Jagdalpur"
"26411","Bastar"
"26420","Dantewada"
"26426","Bijapur(CGH)"
"26438","DANTEWADA"
"26449","Bilaspur"
"26466","Narayanpur"
"26522","SUKMA"
"26529","Raigarh"
"26695","BASTAR"
"26799","Makdi"
"26818","KONDAGAON"
"26863","BIJAPUR(CGH)"
"27025","EAST DELHI"
"27026","SHAHDARA"
"27028","NORTH EAST DELHI"
"27086","NEW DELHI"
"27101","NORTH DELHI"
"27102","NORTH WEST DELHI"
"27241","CENTRAL DELHI"
"27280","SOUTH DELHI"
"27291","New Delhi"
"27383","SOUTH WEST DELHI"
"27466","WEST DELHI"
"27585","AHMEDABAD"
"27607","GANDHI NAGAR"
"27619","Ahmedabad City"
"27762","BANASKANTHA"
"27866","BHARUCH"
"28177","BOTAB"
"28250","MAHESANA"
"28598","Gandhinagar"
"29016","PATAN"
"29282","SABARKANTHA"
"29283","ARAVALLI"
"29862","AMRELI"
"30190","ANAND"
"30213","BHAVNAGAR"
"30612","RAJKOT"
"30853","JAMNAGAR"
"30856","DEVBHOOMI DWERKA"
"30859","MORBI"
"31230","GIR SOMNATH"
"31231","JUNAGADH"
"31278","Junagadh"
"31285","DIU"
"31611","KACHCHH"
"32104","PORBANDAR"
"32182","Porbandar"
"32293","Morbi"
"32519","SURENDRA NAGAR"
"32844","KHEDA"
"32852","MAHISAGAR"
"33075","SURAT"
"33077","TAPI"
"33078","DANGS"
"33529","NARMADA"
"34419","NAVSARI"
"34706","DAHOD"
"34708","PANCH MAHALS"
"35481","Surat"
"35527","VADODARA"
"35535","Chhotaudepur"
"35631","CHHOTA UDEPUR"
"36185","VALSAD"
"36190","DADRA  NAGAR HAVELI"
"36231","DAMAN"
"36511","AMBALA"
"36514","YAMUNANAGAR"
"36521","PANCHKULA"
"36529","Ambala"
"36594","Ambala City"
"36821","BHIWANI"
"37027","Bhiwani"
"37047","FARIDABAD"
"37048","PALWAL"
"37178","MEWAT"
"37179","REWARI"
"37180","GURGAON"
"37181","MAHENDRAGARH"
"37338","FATEHABAD"
"37590","SIRSA"
"37591","HISAR"
"38103","KARNAL"
"38105","PANIPAT"
"38108","JIND"
"38419","Panipat"
"38463","Jind"
"38530","KURUKSHETRA"
"38531","KAITHAL"
"38687","Kaithal"
"38689","Kurukshetra"
"38765","JHAJJAR"
"38766","ROHTAK"
"39027","SONIPAT"
"39205","CHAMBA"
"39427","KANGRA"
"39473","HAMIRPURHP"
"40073","BILASPUR HP"
"40361","HAMIRPUR(HP)"
"40374","BILASPUR (HP)"
"40448","MANDI"
"40449","KULLU"
"40554","LAHUL  SPITI"
"40962","KINNAUR"
"40966","SHIMLA"
"41455","SIRMAUR"
"41456","SOLAN"
"41809","UNA"
"41995","Bandipur"
"41996","BANDIPUR"
"41997","Kupwara"
"41998","BARAMULLA"
"42000","Baramulla"
"42017","KUPWARA"
"42214","KULGAM"
"42243","SAMBA"
"42244","JAMMU"
"42253","KATHUA"
"42472","POONCH"
"42610","KARGIL"
"42626","RAJAURI"
"42805","PULWAMA"
"42825","BUDGAM"
"42826","SRINAGAR"
"42827","ANANTHNAG"
"42835","GANDERBAL"
"42926","SHOPIAN"
"43272","REASI"
"43273","DODA"
"43275","RAMBAN"
"43277","UDHAMPUR"
"43576","Kargil"
"43577","Leh"
"43688","DHANBAD"
"43689","BOKARO"
"43723","Dhanbad"
"44001","GIRIDH"
"44140","HAZARIBAG"
"44255","CHATRA"
"44256","Chatra"
"44257","Ramgarh"
"44258","RAMGARH"
"44259","KODERMA"
"44274","Koderma"
"44307","Hazaribagh"
"44573","PALAMAU"
"44663","GUMLA"
"44666","LATEHAR"
"44667","GARHWA"
"44669","PAKUR"
"44724","RANCHI"
"45030","SIMDEGA"
"45033","Lohardaga"
"45041","KHUNTI"
