"","detecteddistrict"
"1","Thrissur"
"2","Alappuzha"
"3","Kasaragod"
"4","East Delhi"
"5","Hyderabad"
"6","Jaipur"
"7","Gurugram"
"22","Agra"
"29","South West Delhi"
"30","Ghaziabad"
"31","West Delhi"
"32","Leh"
"34","Kancheepuram"
"35","Pathanamthitta"
"40","North Delhi"
"41","Jammu"
"42","Bengaluru"
"43","Kannur"
"44","Pune"
"46","Amritsar"
"54","Ernakulam"
"58","Kottayam"
"66","Mumbai"
"71","S.P.S. Nellore"
"74","Kalaburagi"
"78","Nagpur"
"80","Thane"
"81","Lucknow"
"83","New Delhi"
"85","Thiruvananthapuram"
"92","Ahmadnagar"
"104","Yavatmal"
"108","Idukki"
"110","Aurangabad"
"113","Dehradun"
"118","Malappuram"
"126","Khordha"
"130","South Delhi"
"132","Kargil"
"140","Mahe"
"142","Gautam Buddha Nagar"
"144","Kolkata"
"154","Chennai"
"158","Ratnagiri"
"159","Srinagar"
"160","Jhunjhunu"
"171","North East Delhi"
"172","Chandigarh"
"175","Kodagu"
"176","Prakasam"
"177","Raipur"
"182","Shahid Bhagat Singh Nagar"
"184","Rajkot"
"185","Surat"
"196","Visakhapatnam"
"198","North West Delhi"
"201","S.A.S. Nagar"
"210","Ahmadabad"
"212","Vadodara"
"218","Bhilwara"
"237","Faridabad"
"238","Panipat"
"246","Kangra"
"248","Jabalpur"
"252","Karimnagar"
"255",""
"259","North 24 Parganas"
"285","Chikkaballapura"
"287","Panchkula"
"295","Gandhinagar"
"298","Moradabad"
"301","Erode"
"311","Hoshiarpur"
"325","Mysuru"
"326","Sonipat"
"329","Kachchh"
"330","East Godavari"
"331","Krishna"
"334","Varanasi"
"336","Dharwad"
"347","Coimbatore"
"348","Munger"
"349","Patna"
"362","Bhopal"
"370","Bhadradri Kothagudem"
"373","Uttara Kannada"
"378","Kozhikode"
"396","Tirunelveli"
"398","Jodhpur"
"399","Pali"
"400","Sikar"
"419","Palwal"
"480","Sangli"
"484","Satara"
"485","Kanpur Nagar"
"486","Pilibhit"
"491","Pratapgarh"
"501","Tiruppur"
"502","Madurai"
"504","Jaunpur"
"506","Imphal West"
"512","Dakshina Kannada"
"525","Ranga Reddy"
"531","Bandipore"
"533","Jalandhar"
"547","Palakkad"
"560","Chittoor"
"573","Indore"
"577","Ujjain"
"585","Gwalior"
"587","Aizawl"
"596","Salem"
"601","Udupi"
"603","Shivpuri"
"629","Chitradurga"
"638","Ludhiana"
"640","Pauri Garhwal"
"641","Rajnandgaon"
"652","Vellore"
"654","Guntur"
"655","North Goa"
"666","Bilaspur"
"668","Durg"
"678","Baghpat"
"681","South Andaman"
"682","Medchal Malkajgiri"
"695","Tiruchirappalli"
"716","Wayanad"
"722","Rajouri"
"734","Sindhudurg"
"736","North and Middle Andaman"
"739","Siwan"
"740","Nalanda"
"745","Gondiya"
"758","Tumakuru"
"809","Kollam"
"848","Kolhapur"
"849","Gujarat*"
"859","Lakhimpur"
"860","Shamli"
"861","Davanagere"
"863","Nadia"
"870","Dungarpur"
"872","Churu"
"873","Chengalpattu"
"897","Mahesana"
"903","Thanjavur"
"907","Ajmer"
"945","Virudhunagar"
"960","Medinipur East"
"963","Bhavnagar"
"983","Meerut"
"994","Jalgaon"
"1004","Kurnool"
"1012","Kalimpong"
"1023","Lakhisarai"
"1024","Ambala"
"1043","Badgam"
"1045","Baramula"
"1089","Buldana"
"1097","Porbandar"
"1098","Gir Somnath"
"1099","Bhagalpur"
"1131","Bareilly"
"1139","Hooghly"
"1152","Nashik"
"1153","Evacuees"
"1190","Karur"
"1194","Shopian"
"1230","Bulandshahr"
"1316","Ballari"
"1327","Alwar"
"1347","Korba"
"1362","Gopalganj"
"1385","Howrah"
"1387","South 24 Parganas"
"1390","Tiruvannamalai"
"1391","Viluppuram"
"1401","Anantapur"
"1442","Ranchi"
"1443","Sirsa"
"1453","Cachar"
"1514","Hisar"
"1538","Namakkal"
"1556","Kanniyakumari"
"1560","Thoothukkudi"
"1585","Gaya"
"1614","Bhadrak"
"1659","Puducherry"
"1669","West Godavari"
"1697","Y.S.R."
"1712","Begusarai"
"1722","Kamrup Metropolitan"
"1747","Basti"
"1797","Theni"
"1817","Dindigul"
"1850","Sivaganga"
"1862","Tirupathur"
"1869","Thiruvarur"
"1946","Panch Mahals"
"1967","Jorhat"
"1999","Tonk"
"2016","Goalpara"
"2094","Lohit"
"2096","Dhaulpur"
"2097","Udaipur"
"2102","Rohtak"
"2103","Bidar"
"2193","Bharatpur"
"2287","Ranipet"
"2293","Ramanathapuram"
"2295","Thiruvallur"
"2400","Hazaribagh"
"2481","Chhindwara"
"2517","Saran"
"2526","Osmanabad"
"2528","Una"
"2534","Udham Singh Nagar"
"2551","Bikaner"
"2587","Bagalkote"
"2606","Hardoi"
"2609","Shahjahanpur"
"2610","Firozabad"
"2614","Azamgarh"
"2617","Saharanpur"
"2631","Hapur"
"2637","Nuh"
"2640","Cuttack"
"2647","Dausa"
"2822","Nagapattinam"
"2846","Nalbari"
"2849","South Salmara Mancachar"
"2850","Kashmir"
"2857","Patiala"
"2868","Morena"
"2890","Belagavi"
"2973","Karnal"
"3040","Washim"
"3042","Hingoli"
"3095","Puri"
"3096","Jajapur"
"3104","Ghazipur"
"3106","Kamrup"
"3108","Morigaon"
"3109","Golaghat"
"3121","Banswara"
"3144","Udhampur"
"3192","Amravati"
"3205","Patan"
"3206","Rupnagar"
"3207","Mansa"
"3212","Bhiwani"
"3216","Kaithal"
"3236","Bengaluru Rural"
"3368","Banda"
"3369","Maharajganj"
"3374","Nainital"
"3379","Haridwar"
"3387","Cuddalore"
"3390","Kallakurichi"
"3399","Perambalur"
"3489","Pathankot"
"3490","Faridkot"
"3496","Hatras"
"3500","Mirzapur"
"3524","Khargone"
"3573","Kalahandi"
"3591","Latur"
"3674","Karauli"
"3720","Chota Udaipur"
"3724","Bokaro"
"3819","Barnala"
"3889","The Nilgiris"
"4041","Nagaur"
"4104","Barwani"
"4161","Rae Bareli"
"4163","Bara Banki"
"4164","Auraiya"
"4234","Warangal Urban"
"4236","Vikarabad"
"4238","Adilabad"
"4239","Nirmal"
"4240","Nizamabad"
"4241","Peddapalli"
"4243","Sangareddy"
"4244","Jamnagar"
"4246","Morbi"
"4255","Jaisalmer"
